store_id,week_start,region,sales,orders,promo_spend,ads_spend
S001,2026-01-05,North,42000,840,3200,2500
S001,2026-01-12,North,45500,910,3500,2700
S001,2026-01-19,North,43800,875,3300,2600
S001,2026-01-26,North,47100,940,3600,2800
S002,2026-01-05,South,51000,1020,4000,3100
S002,2026-01-12,South,49500,990,3900,3000
S002,2026-01-19,South,52200,1050,4200,3200
S002,2026-01-26,South,53500,1080,4300,3300
S003,2026-01-05,West,62000,1240,5000,3900
S003,2026-01-12,West,64000,1280,5200,4000
S003,2026-01-19,West,61500,1220,4900,3800
S003,2026-01-26,West,67500,1340,5500,4200
S004,2026-01-05,East,39000,780,2800,2200
S004,2026-01-12,East,41000,820,3000,2300
S004,2026-01-19,East,40500,810,2900,2250
S004,2026-01-26,East,43000,860,3100,2400
